Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
15,KBGZ,NEVINS DAY CARE CENTER,SCA CIP,ACS EARLY LEARN LEASE IMPROVEMENT / PATH OF TRAVEL,"CM,F&E",In-Progress,11/13/2023,5/5/2025,,171572,"$307,011.00 ","$181,450.00 ","DSF0001008758, DSF0001009214"
15,KBGZ,NEVINS DAY CARE CENTER,SCA CIP,ACS EARLY LEARN LEASE IMPROVEMENT / PATH OF TRAVEL,Construction,In-Progress,11/13/2023,5/5/2025,,2501588,"$2,867,550.00 ","$2,309,588.00 ","DSF0001008758, DSF0001009214"
15,KBGZ,NEVINS DAY CARE CENTER,SCA CIP,ACS EARLY LEARN LEASE IMPROVEMENT / PATH OF TRAVEL,Design,Complete,2/28/2023,6/30/2023,3/31/2023,115467,"$159,127.00 ","$117,222.00 ","DSF0001008758, DSF0001009214"
15,KBGZ,NEVINS DAY CARE CENTER,SCA CIP,ACS EARLY LEARN LEASE IMPROVEMENT / PATH OF TRAVEL,Scope,Complete,3/2/2021,8/3/2022,2/22/2023,23316,"$44,120.00 ","$44,120.00 ","DSF0001008758, DSF0001009214"
15,KBNU,BROOKLYN URBAN CHARTER SCHOOL,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$50,000.00 ",$0.00 ,DSF0001112748
17,KBOR,SAINT JOHN'S DAY CARE CENTER,SCA CIP,ACS EARLY LEARN LEASE IMPROVEMENT,"CM,F&E",In-Progress,2/9/2024,8/1/2025,,177281,"$347,192.00 ","$205,367.00 ",DSF0001008760
17,KBOR,SAINT JOHN'S DAY CARE CENTER,SCA CIP,ACS EARLY LEARN LEASE IMPROVEMENT,Construction,In-Progress,2/9/2024,8/1/2025,,2849162,"$2,715,131.00 ","$1,485,000.00 ",DSF0001008760
17,KBOR,SAINT JOHN'S DAY CARE CENTER,SCA CIP,ACS EARLY LEARN LEASE IMPROVEMENT,Design,Complete,10/1/2021,3/28/2022,8/9/2022,126629,"$114,005.00 ","$92,556.00 ",DSF0001008760
17,KBOR,SAINT JOHN'S DAY CARE CENTER,SCA CIP,ACS EARLY LEARN LEASE IMPROVEMENT,Scope,Complete,3/2/2021,6/30/2021,7/2/2021,25326,"$47,812.00 ","$47,812.00 ",DSF0001008760
32,KBRV,BETHESDA DAY CARE CENTER OF BROOKLYN,SCA CIP,ACS EARLY LEARN LEASE IMPROVEMENT,"CM,F&E",PNS,PNS,PNS,PNS,27111,"$27,111.00 ","$19,607.00 ",DSF0001008776
32,KBRV,BETHESDA DAY CARE CENTER OF BROOKLYN,SCA CIP,ACS EARLY LEARN LEASE IMPROVEMENT,Construction,PNS,PNS,PNS,PNS,146275,"$146,275.00 ","$8,204.00 ",DSF0001008776
32,KBRV,BETHESDA DAY CARE CENTER OF BROOKLYN,SCA CIP,ACS EARLY LEARN LEASE IMPROVEMENT,Design,In-Progress,5/3/2022,10/3/2022,,11349,"$19,225.00 ","$1,108.00 ",DSF0001008776
32,KBRV,BETHESDA DAY CARE CENTER OF BROOKLYN,SCA CIP,ACS EARLY LEARN LEASE IMPROVEMENT,Scope,Complete,4/8/2021,8/9/2021,7/19/2021,2522,"$13,929.00 ","$13,929.00 ",DSF0001008776
32,KBSG,200 CENTRAL AVENUE DAY CARE CENTER,SCA CIP,ACS EARLY LEARN LEASE RENEWAL,"CM,F&E",PNS,PNS,PNS,PNS,53216,"$53,216.00 ","$7,173.00 ",DSF0001008778
32,KBSG,200 CENTRAL AVENUE DAY CARE CENTER,SCA CIP,ACS EARLY LEARN LEASE RENEWAL,Construction,PNS,PNS,PNS,PNS,287121,"$287,121.00 ","$26,649.00 ",DSF0001008778
32,KBSG,200 CENTRAL AVENUE DAY CARE CENTER,SCA CIP,ACS EARLY LEARN LEASE RENEWAL,Design,Complete,1/3/2022,5/3/2022,1/6/2023,22277,"$30,839.00 ","$30,839.00 ",DSF0001008778
32,KBSG,200 CENTRAL AVENUE DAY CARE CENTER,SCA CIP,ACS EARLY LEARN LEASE RENEWAL,Scope,Complete,4/12/2021,8/11/2021,7/19/2021,4950,"$15,920.00 ","$15,920.00 ",DSF0001008778
21,KBUH,CONEY ISLAND #1 HEAD START,SCA CIP,ACS EARLY LEARN LEASE IMPROVEMENT / PATH OF TRAVEL,"CM,F&E",In-Progress,11/13/2023,5/5/2025,,137044,"$249,473.00 ","$150,003.00 ","DSF0001008779, DSF0001009218"
21,KBUH,CONEY ISLAND #1 HEAD START,SCA CIP,ACS EARLY LEARN LEASE IMPROVEMENT / PATH OF TRAVEL,Construction,In-Progress,11/13/2023,5/5/2025,,2066842,"$1,945,907.00 ","$1,356,839.00 ","DSF0001008779, DSF0001009218"
21,KBUH,CONEY ISLAND #1 HEAD START,SCA CIP,ACS EARLY LEARN LEASE IMPROVEMENT / PATH OF TRAVEL,Design,Complete,11/2/2022,3/1/2023,4/26/2023,94132,"$76,497.00 ","$14,435.00 ","DSF0001008779, DSF0001009218"
21,KBUH,CONEY ISLAND #1 HEAD START,SCA CIP,ACS EARLY LEARN LEASE IMPROVEMENT / PATH OF TRAVEL,Scope,Complete,3/2/2021,8/4/2022,11/2/2022,18945,"$11,275.00 ","$4,499.00 ","DSF0001008779, DSF0001009218"
22,KBZT,K000 - BROOKLYN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,5/1/2023,DIIR,,DIIR,"$150,000.00 ",$0.00 ,DSF0001032987
22,KBZT,K000 - BROOKLYN,DIIT - RESOA,FY20 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/10/2025,DIIR,6/9/2025,DIIR,"$35,000.00 ","$35,000.00 ",DSF0000913867
17,KMCA,CUNY @ MEDGAR EVERS HS ANNEX - BROOKLYN,SCA Capacity,NEW BUILDING/CUNY CORE & SHELL,"CM,Art,F&E",PNS,PNS,PNS,PNS,6490299,"$6,490,299.00 ","$119,274.00 ",DSF0001008556
17,KMCA,CUNY @ MEDGAR EVERS HS ANNEX - BROOKLYN,SCA Capacity,NEW BUILDING/CUNY CORE & SHELL,Construction,PNS,PNS,PNS,PNS,46040557,"$46,040,557.00 ","$47,242.00 ",DSF0001008556
17,KMCA,CUNY @ MEDGAR EVERS HS ANNEX - BROOKLYN,SCA Capacity,NEW BUILDING/CUNY CORE & SHELL,Design,In-Progress,10/3/2022,4/20/2023,,3650793,"$3,650,793.00 ","$630,553.00 ",DSF0001008556
17,KMCA,CUNY @ MEDGAR EVERS HS ANNEX - BROOKLYN,SCA Capacity,NEW BUILDING/CUNY CORE & SHELL,Scope,Complete,7/15/2022,10/7/2022,9/30/2022,811287,"$66,034.00 ","$15,355.00 ",DSF0001008556
2,M001,P.S. 1 - MANHATTAN,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$199,373.00 ",$0.00 ,DSF0001035605
2,M001,P.S. 1 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,12/27/2021,DOES,,DOES,"$307,767.00 ",$0.00 ,DSF0001008689
2,M001,P.S. 1 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,1/29/2025,1/28/2026,,52507,"$37,015.00 ","$12,518.00 ",DSF0001087462
2,M001,P.S. 1 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / ROOF,"CM,F&E",In-Progress,10/9/2019,10/7/2021,,1743699,"$2,556,887.00 ","$2,400,556.00 ","DSF0000874691, DSF0000874693, DSF0000874694, DSF0000912459"
2,M001,P.S. 1 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / ROOF,Construction,In-Progress,10/9/2019,10/7/2021,,28023750,"$34,340,981.00 ","$28,194,953.00 ","DSF0000874691, DSF0000874693, DSF0000874694, DSF0000912459"
2,M001,P.S. 1 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,1/29/2025,1/28/2026,,263117,"$245,111.00 ","$4,286.00 ",DSF0001087462
2,M001,P.S. 1 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / ROOF,Design,Complete,1/3/2019,6/5/2019,5/14/2019,1494600,"$1,193,950.00 ","$1,030,165.00 ","DSF0000874691, DSF0000874693, DSF0000874694, DSF0000912459"
2,M001,P.S. 1 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,3/21/2024,9/16/2024,8/13/2024,20414,"$8,531.00 ","$8,531.00 ",DSF0001087462
2,M001,P.S. 1 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / ROOF,Scope,Complete,10/12/2018,3/4/2019,1/3/2019,373649,"$159,120.00 ","$159,120.00 ","DSF0000874691, DSF0000874693, DSF0000874694, DSF0000912459"
2,M001,P.S. 1 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,1/22/2024,5/20/2024,1/22/2024,4537,"$2,133.00 ","$2,133.00 ",DSF0001087462
2,M001,P.S. 1 - MANHATTAN,SCA IEH,"PO18-ABATEMENT NEEDED AT THE FOLLOWING LOCATIONS: SPACE #2008 - FAN ROOM: AIR CELL DUCT INSULATION,",Construction,Complete,2/7/2025,IEH,2/9/2025,IEH,"$52,439.00 ","$1,833.00 ",SCA0000073886
2,M002,P.S. 2 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,6/1/2022,DOES,,DOES,"$494,086.00 ",$0.00 ,DSF0001034237
2,M002,P.S. 2 - MANHATTAN,Fast Track Projects,FY20 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,9/14/2021,FTK,,FTK,"$37,701.00 ","$34,965.00 ",DSF0000913071
2,M002,P.S. 2 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,1/29/2025,1/28/2026,,40876,"$27,392.00 ","$8,738.00 ",DSF0001087463
2,M002,P.S. 2 - MANHATTAN,SCA CIP,WINDOWS / ROOFS / PARAPETS / SECURITY LIGHTING,"CM,F&E",Complete,8/15/2022,8/13/2024,6/11/2025,850799,"$73,429.00 ","$73,429.00 ","DSF0000960574, DSF0000943000, DSF0000943001, DSF0001017158"
2,M002,P.S. 2 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,1/29/2025,1/28/2026,,200361,"$203,051.00 ","$10,726.00 ",DSF0001087463
2,M002,P.S. 2 - MANHATTAN,SCA CIP,WINDOWS / ROOFS / PARAPETS / SECURITY LIGHTING,Construction,Complete,8/15/2022,8/13/2024,6/11/2025,11930288,"$10,674,084.00 ","$9,891,701.00 ","DSF0000960574, DSF0000943000, DSF0000943001, DSF0001017158"
2,M002,P.S. 2 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,3/20/2024,9/13/2024,8/13/2024,15545,"$5,260.00 ","$5,260.00 ",DSF0001087463
2,M002,P.S. 2 - MANHATTAN,SCA CIP,WINDOWS / ROOFS / PARAPETS / SECURITY LIGHTING,Design,Complete,11/25/2019,4/28/2020,3/22/2022,559432,"$386,813.00 ","$371,910.00 ","DSF0000960574, DSF0000943000, DSF0000943001, DSF0001017158"
2,M002,P.S. 2 - MANHATTAN,SCA CIP,WINDOWS / ROOFS / PARAPETS / SECURITY LIGHTING,Scope,Complete,2/14/2019,6/17/2019,10/29/2019,113406,"$3,258.00 ","$3,258.00 ","DSF0000960574, DSF0000943000, DSF0000943001, DSF0001017158"
2,M002,P.S. 2 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2/26/2024,6/25/2024,3/20/2024,3455,"$1,315.00 ","$1,315.00 ",DSF0001087463
2,M002,P.S. 2 - MANHATTAN,SCA Emergency Response,EMERGENCY STABILIZATION,Construction,In-Progress,2/13/2019,EMER,,EMER,"$12,196.00 ","$12,196.00 ",SCA0000056407
2,M002,P.S. 2 - MANHATTAN,SCA IEH,PO18-ABATE PIPE TO REPLACE THE BROKEN GATE VALVES IN THE CELLAR SPACE ID : 1000 ( CELLAR HALLWAY ) W,Construction,Complete,1/23/2025,IEH,2/23/2025,IEH,"$7,575.00 ","$1,505.00 ",SCA0000073832
2,M003,P.S. 3 - MANHATTAN,DOE - RESOA,FY24 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$200,000.00 ",$0.00 ,DSF0001086164
2,M003,P.S. 3 - MANHATTAN,DOE - RESOA,FY20 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,2/22/2022,DOER,,DOER,"$35,857.00 ",$0.00 ,DSF0000913291
2,M003,P.S. 3 - MANHATTAN,DOE - RESOA,FY21 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$100,000.00 ",$0.00 ,DSF0001007811
2,M003,P.S. 3 - MANHATTAN,DOE - RESOA,FY24 RESO A (MA) CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$3,109.00 ",$0.00 ,DSF0001086165
2,M003,P.S. 3 - MANHATTAN,DOE - RESOA,FY25 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,"$69,000.00 ",$0.00 ,DSF0001112749
2,M003,P.S. 3 - MANHATTAN,DOE - RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$100,000.00 ",$0.00 ,DSF0001112750
2,M003,P.S. 3 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,3/13/2024,DOES,7/26/2024,DOES,"$65,832.00 ","$10,329.00 ",DSF0001084177
2,M003,P.S. 3 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,2/28/2024,12/23/2024,,162351,"$144,431.00 ","$68,155.00 ",DSF0001035027
2,M003,P.S. 3 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,2/28/2024,12/23/2024,,235742,"$219,609.00 ","$191,510.00 ",DSF0001035027
2,M003,P.S. 3 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/6/2023,1/3/2024,10/18/2023,18290,"$6,342.00 ","$6,342.00 ",DSF0001035027
2,M003,P.S. 3 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/26/2023,10/25/2023,7/6/2023,4065,"$1,585.00 ","$1,585.00 ",DSF0001035027
6,M004,P.S. 4 - MANHATTAN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$50,000.00 ",$0.00 ,DSF0001112751
6,M004,P.S. 4 - MANHATTAN,DOE - RESOA,FY23 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$76,666.00 ",$0.00 ,DSF0001035610
6,M004,P.S. 4 - MANHATTAN,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$130,000.00 ",$0.00 ,DSF0001035611
6,M004,P.S. 4 - MANHATTAN,DOE - RESOA,FY24 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,"$100,000.00 ",$0.00 ,DSF0001086166
6,M004,P.S. 4 - MANHATTAN,DOE - Skilled Trades,ADA SHELTER COMPLIANCE  RAMPS,Construction,In-Progress,6/11/2021,DOES,,DOES,"$71,324.00 ",$0.00 ,DSF0000911919
6,M004,P.S. 4 - MANHATTAN,SCA CIP RESOA,FY25 RESO A IPDVS CAMERA INSTALLATION,"CM,F&E",PNS,PNS,PNS,PNS,36032,"$24,000.00 ","$1,773.00 ",DSF0001112752
6,M004,P.S. 4 - MANHATTAN,SCA CIP RESOA,RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND,"CM,F&E",PNS,PNS,PNS,PNS,52649,"$52,649.00 ","$40,139.00 ","DSF0001111873, DSF0001112233"
6,M004,P.S. 4 - MANHATTAN,SCA CIP RESOA,FY25 RESO A IPDVS CAMERA INSTALLATION,Construction,PNS,PNS,PNS,PNS,352000,"$352,000.00 ",$0.00 ,DSF0001112752
6,M004,P.S. 4 - MANHATTAN,SCA CIP RESOA,RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND,Construction,PNS,PNS,PNS,PNS,768334,"$768,334.00 ","$16,046.00 ","DSF0001111873, DSF0001112233"
6,M004,P.S. 4 - MANHATTAN,SCA CIP RESOA,RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND,Design,Complete,10/17/2024,2/18/2025,3/7/2025,161610,"$161,610.00 ","$159,141.00 ","DSF0001111873, DSF0001112233"
6,M004,P.S. 4 - MANHATTAN,SCA CIP RESOA,FY25 RESO A IPDVS CAMERA INSTALLATION,Design,In-Progress,6/2/2025,11/28/2025,,24000,"$26,351.00 ","$26,351.00 ",DSF0001112752
6,M004,P.S. 4 - MANHATTAN,SCA CIP RESOA,RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND,Scope,Complete,6/13/2024,12/5/2024,10/16/2024,62890,"$62,890.00 ","$62,890.00 ","DSF0001111873, DSF0001112233"
6,M004,P.S. 4 - MANHATTAN,SCA CIP RESOA,FY25 RESO A IPDVS CAMERA INSTALLATION,Scope,Complete,11/27/2024,4/1/2025,12/9/2024,0,"$6,588.00 ","$6,588.00 ",DSF0001112752
6,M005,P.S. 5 - MANHATTAN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/7/2025,DIIR,6/6/2025,DIIR,"$200,000.00 ","$200,000.00 ",DSF0001112753
6,M005,P.S. 5 - MANHATTAN,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$650,000.00 ",$0.00 ,DSF0001035612
6,M005,P.S. 5 - MANHATTAN,DOE - RESOA,FY21 RESO A CAFETERIA UPGRADE,Construction,In-Progress,12/22/2022,DOER,,DOER,"$136,794.00 ",$0.00 ,DSF0000961334
6,M005,P.S. 5 - MANHATTAN,DOE - RESOA,FY23 RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$100,000.00 ",$0.00 ,DSF0001035210
6,M005,P.S. 5 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,5/1/2025,3/26/2026,,44720,"$31,630.00 ","$9,166.00 ",DSF0001087465
6,M005,P.S. 5 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,5/1/2025,3/26/2026,,241280,"$232,511.00 ","$22,011.00 ",DSF0001087465
6,M005,P.S. 5 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,4/16/2024,10/10/2024,9/24/2024,18720,"$10,737.00 ","$10,737.00 ",DSF0001087465
6,M005,P.S. 5 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,4/4/2024,8/5/2024,4/16/2024,4160,"$2,684.00 ","$2,684.00 ",DSF0001087465
2,M006,P.S. 6 - MANHATTAN,DOE - RESOA,FY25 RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$150,000.00 ",$0.00 ,DSF0001112754
2,M006,P.S. 6 - MANHATTAN,DOE - RESOA,FY24 RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,"$50,000.00 ",$0.00 ,DSF0001086167
2,M006,P.S. 6 - MANHATTAN,SCA CIP RESOA,FY21 RESO A LIBRARY UPGRADE / PATH OF TRAVEL RESO A LIBRARY UPGRADE,"CM,F&E",Complete,6/15/2023,3/15/2024,1/17/2025,201380,"$229,578.00 ","$216,519.00 ","DSF0001007823, DSF0001007848"
2,M006,P.S. 6 - MANHATTAN,SCA CIP RESOA,FY21 RESO A LIBRARY UPGRADE / PATH OF TRAVEL RESO A LIBRARY UPGRADE,Construction,Complete,6/15/2023,3/15/2024,1/17/2025,887607,"$552,996.00 ","$494,474.00 ","DSF0001007823, DSF0001007848"
2,M006,P.S. 6 - MANHATTAN,SCA CIP RESOA,FY21 RESO A LIBRARY UPGRADE / PATH OF TRAVEL RESO A LIBRARY UPGRADE,Design,Complete,1/31/2022,3/28/2022,4/4/2022,60518,"$89,611.00 ","$89,611.00 ","DSF0001007823, DSF0001007848"
2,M006,P.S. 6 - MANHATTAN,SCA CIP RESOA,FY21 RESO A LIBRARY UPGRADE / PATH OF TRAVEL RESO A LIBRARY UPGRADE,Scope,Complete,6/14/2021,3/25/2022,1/31/2022,0,"$22,402.00 ","$22,402.00 ","DSF0001007823, DSF0001007848"
2,M006,P.S. 6 - MANHATTAN,SCA IEH,PO18-ABATE PIPE INSULATION IN CRAWLSPACE FOR VALVE #9 IN BOILER ROOM THERE ARE THREE LINES ALL PAINT,Construction,Complete,5/14/2025,IEH,6/18/2025,IEH,$839.00 ,$89.00 ,SCA0000074268
4,M007,P.S. 7 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,9/9/2024,DOES,,DOES,"$65,832.00 ",$0.00 ,DSF0001084622
4,M007,P.S. 7 - MANHATTAN,Fast Track Projects,ELECTRICAL WORK FOR A/C INITIATIVE / LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Construction,In-Progress,10/23/2020,FTK,,FTK,"$207,020.00 ","$165,322.00 ","DSF0000912697, DSF0000912923"
4,M007,P.S. 7 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,590782,"$590,782.00 ","$57,809.00 ","DSF0001067975, DSF0001095677"
4,M007,P.S. 7 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,5961528,"$5,961,528.00 ","$50,490.00 ","DSF0001067975, DSF0001095677"
4,M007,P.S. 7 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY,Design,Complete,5/28/2024,10/29/2024,3/18/2025,375952,"$196,830.00 ","$186,639.00 ","DSF0001067975, DSF0001095677"
4,M007,P.S. 7 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY,Scope,Complete,12/14/2023,5/1/2024,5/10/2024,80561,"$91,565.00 ","$91,565.00 ","DSF0001067975, DSF0001095677"
4,M007,P.S. 7 - MANHATTAN,SCA Emergency Response,EMERGENCY- REPLACING ACCESSIBLE LIFT @ M007,Construction,In-Progress,11/15/2024,EMER,,EMER,"$239,567.00 ","$143,550.00 ",SCA0000073615
6,M008,P.S. 8 - MANHATTAN,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,"$500,000.00 ",$0.00 ,DSF0001008524
6,M008,P.S. 8 - MANHATTAN,Fast Track Projects,LSP BOOSTER PUMP REPLACEMENT,Construction,In-Progress,10/9/2024,FTK,,FTK,"$152,552.00 ","$8,008.00 ",DSF0001086880
6,M008,P.S. 8 - MANHATTAN,Fast Track Projects,LSP HOT WATER HEATER REPLACEMENT,Construction,In-Progress,11/20/2024,FTK,,FTK,"$324,496.00 ","$78,593.00 ",DSF0001087261
6,M008,P.S. 8 - MANHATTAN,SCA CIP RESOA,FY23 RESO A IPDVS CAMERA INSTALLATION,"CM,F&E",PNS,PNS,PNS,PNS,15000,"$15,000.00 ",$0.00 ,DSF0001035614
6,M008,P.S. 8 - MANHATTAN,SCA CIP RESOA,FY23 RESO A IPDVS CAMERA INSTALLATION,Construction,PNS,PNS,PNS,PNS,220000,"$220,000.00 ",$0.00 ,DSF0001035614
6,M008,P.S. 8 - MANHATTAN,SCA CIP RESOA,FY23 RESO A IPDVS CAMERA INSTALLATION,Design,PNS,PNS,PNS,PNS,15000,"$15,000.00 ",$0.00 ,DSF0001035614
6,M008,P.S. 8 - MANHATTAN,SCA CIP RESOA,FY23 RESO A IPDVS CAMERA INSTALLATION,Scope,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001035614
6,M008,P.S. 8 - MANHATTAN,SCA Furniture & Equipment,FY20 RESO A MOBILE SCIENCE LABS,F&E,Complete,11/21/2024,,1/8/2025,250000,"$250,000.00 ","$249,845.00 ",DSF0000913869
3,M009,P.S. 9 - MANHATTAN,DOE - RESOA,FY20 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,6/8/2022,DOER,,DOER,"$402,261.00 ",$0.00 ,DSF0000913293
3,M009,P.S. 9 - MANHATTAN,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$280,000.00 ",$0.00 ,DSF0001035615
3,M009,P.S. 9 - MANHATTAN,DOE - RESOA,FY18 RESO A SUPPLEMENTAL COOLING,Construction,In-Progress,7/18/2018,DOER,,DOER,"$474,166.00 ",$0.00 ,DSF0000867223
3,M009,P.S. 9 - MANHATTAN,DOE - RESOA,FY22 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$50,000.00 ",$0.00 ,DSF0001033622
3,M009,P.S. 9 - MANHATTAN,DOE - RESOA,FY25 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$50,000.00 ",$0.00 ,DSF0001112756
3,M009,I.S. 243 - MANHATTAN,DOE - RESOA,FY25 RESO A ELECTRICAL UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$200,000.00 ",$0.00 ,DSF0001112755
3,M009,I.S. 243 - MANHATTAN,DOE - RESOA,FY24 RESO A ELECTRICAL UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$225,000.00 ",$0.00 ,DSF0001086168
3,M009,P.S. 9 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,8/16/2021,8/15/2023,,533487,"$526,555.00 ","$526,180.00 ","DSF0000890581, DSF0000912537, DSF0000912538"
3,M009,P.S. 9 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,8/16/2021,8/15/2023,,7569284,"$7,002,711.00 ","$4,575,650.00 ","DSF0000890581, DSF0000912537, DSF0000912538"
3,M009,P.S. 9 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,9/26/2019,3/3/2020,2/11/2020,354838,"$379,271.00 ","$360,748.00 ","DSF0000890581, DSF0000912537, DSF0000912538"
3,M009,P.S. 9 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,6/26/2019,11/27/2019,9/17/2019,73499,"$87,453.00 ","$87,453.00 ","DSF0000890581, DSF0000912537, DSF0000912538"
3,M009,P.S. 9 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113599
