"project_geographic_district","project_building_identifier","project_school_name","project_type","project_description","project_phase_name","project_status_name","project_phase_actual_start_date","project_phase_planned_end_date","project_phase_actual_end_date","BAC","EAC","AC","perc_complete","dfs_numbers"
15,"K029","P.S. 29 - BROOKLYN","SCA IEH","PO18-ABATE AND REPLACE THE FOLLOWING FLOORS CAFE LOBBY 201B PLAY AREA 1 2030 PLAY AREA 2 2031 STUDEN","Construction","Complete","2023-09-22","IEH","2025-02-18","IEH","3720.00","1385.00","37.23","SCA0000072342"
15,"K029","P.S. 29 - BROOKLYN","SCA IEH","PO18-PLEASE FERFORM ACM TESTING ON LOOSE FLOOR TILE IN STAIRCASE H AND I , AND ROOM 500","Construction","In-Progress","2023-12-29","IEH","","IEH","3858.00","658.00","17.06","SCA0000072604"
15,"K029","P.S. 29 - BROOKLYN","DOE - RESOA","FY24 RESO A AUDITORIUM UPGRADE","Construction","In-Progress","2024-05-22","DOER","","DOER","750000.00","0.00","0.00","DSF0001085948"
15,"K029","P.S. 29 - BROOKLYN","SCA CIP","FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS","CM,F&E","In-Progress","2024-08-05","2026-08-04","","1111250.00","173755.00","168851.00","97.18","DSF0001034905, DSF0001060620"
15,"K029","P.S. 29 - BROOKLYN","SCA CIP","FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS","Construction","In-Progress","2024-08-05","2026-08-04","","17859375.00","16169954.00","2067072.00","12.78","DSF0001034905, DSF0001060620"
15,"K029","P.S. 29 - BROOKLYN","DIIT - RESOA","FY25 RESO A TECHNOLOGY UPGRADE","Purch & Install","Complete","2025-04-14","DIIR","2025-06-13","DIIR","90000.00","90000.00","100.00","DSF0001112533"
14,"K031","P.S. 31 - BROOKLYN","SCA CIP","FULL PROGRAM ACCESSIBILITY","Scope","Complete","2019-05-13","2019-09-26","2019-10-01","159880.00","149202.00","149202.00","100.00","DSF0000912347"
14,"K031","P.S. 31 - BROOKLYN","SCA CIP","FULL PROGRAM ACCESSIBILITY","Design","Complete","2019-10-30","2020-04-20","2023-05-12","799400.00","367759.00","347005.00","94.36","DSF0000912347"
14,"K031","P.S. 31 - BROOKLYN","DIIT - RESOA","FY21 RESO A TECHNOLOGY UPGRADE","Purch & Install","In-Progress","2021-03-14","DIIR","","DIIR","75000.00","0.00","0.00","DSF0001008210"
14,"K031","P.S. 31 - BROOKLYN","DIIT - RESOA","FY25 RESO A TECHNOLOGY UPGRADE","Purch & Install","PNS","PNS","PNS","PNS","DIIR","60000.00","0.00","0.00","DSF0001112534"
14,"K031","P.S. 31 - BROOKLYN","DOE - RESOA","FY24 RESO A AUDITORIUM UPGRADE","Construction","PNS","PNS","PNS","PNS","DOER","300000.00","0.00","0.00","DSF0001085950"
14,"K031","P.S. 31 - BROOKLYN","DOE - RESOA","FY21 RESO A GYMNASIUM UPGRADE","Construction","PNS","PNS","PNS","PNS","DOER","78000.00","0.00","0.00","DSF0001008205"
14,"K031","P.S. 31 - BROOKLYN","SCA CIP","FULL PROGRAM ACCESSIBILITY","CM,F&E","PNS","PNS","PNS","PNS","1119160.00","1119160.00","116612.00","10.42","DSF0000912347"
14,"K031","P.S. 31 - BROOKLYN","SCA CIP","FULL PROGRAM ACCESSIBILITY","Construction","PNS","PNS","PNS","PNS","17986500.00","17986500.00","25793.00","0.14","DSF0000912347"
15,"K032","P.S. 32 - BROOKLYN","SCA IEH","PO18-AUDITORIUM - SPACE ID # 2500 ABATE AND REPAIR DAMAGED CEILING TILE AT LOCATION APPROX. 49 12X12","Construction","Complete","2025-03-05","IEH","2025-03-08","IEH","34961.00","2261.00","6.47","SCA0000074033"
14,"K033","BROOKLYN COMMUNITY ARTS & MEDIA HIGH SCHOOL (BCAM) - K","DOE - RESOA","FY21 RESO A BATHROOM UPGRADES","Construction","In-Progress","2022-05-06","DOER","","DOER","179138.00","0.00","0.00","DSF0000961205"
14,"K033","K368 SPED - BROOKLYN","SCA CIP","ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS","Scope","Complete","2022-05-26","2022-11-21","2022-09-26","203999.00","264795.00","238227.00","89.97","DSF0001009995, DSF0001009996, DSF0001009997, DSF0001036324"
14,"K033","K368 SPED - BROOKLYN","SCA CIP RESOA","FY22 RESO A GYMNASIUM UPGRADE","Scope","Complete","2022-06-10","2022-10-12","2022-10-12","0.00","18415.00","18415.00","100.00","DSF0001033076"
14,"K033","K368 SPED - BROOKLYN","SCA CIP","ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS","Design","Complete","2022-09-28","2023-06-12","2023-04-13","1020000.00","490601.00","490422.00","99.96","DSF0001009995, DSF0001009996, DSF0001009997, DSF0001036324"
14,"K033","K368 SPED - BROOKLYN","SCA CIP RESOA","FY22 RESO A GYMNASIUM UPGRADE","Design","Complete","2022-10-17","2023-03-07","2023-03-20","44520.00","71258.00","71258.00","100.00","DSF0001033076"
14,"K033","K368 SPED - BROOKLYN","SCA CIP","ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS","CM,F&E","In-Progress","2023-12-04","2027-04-06","","1428001.00","352564.00","343315.00","97.38","DSF0001009995, DSF0001009996, DSF0001009997, DSF0001036324"
14,"K033","K368 SPED - BROOKLYN","SCA CIP","ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS","Construction","In-Progress","2023-12-04","2027-04-06","","22950000.00","21465618.00","6845705.00","31.89","DSF0001009995, DSF0001009996, DSF0001009997, DSF0001036324"
14,"K033","K368 SPED - BROOKLYN","SCA CIP RESOA","FY22 RESO A GYMNASIUM UPGRADE","CM,F&E","In-Progress","2023-12-05","2024-10-29","","44520.00","71948.00","66233.00","92.06","DSF0001033076"
14,"K033","K368 SPED - BROOKLYN","SCA CIP RESOA","FY22 RESO A GYMNASIUM UPGRADE","Construction","In-Progress","2023-12-05","2024-10-29","","652960.00","394270.00","261496.00","66.32","DSF0001033076"
14,"K033","K368 SPED - BROOKLYN","DOE - Skilled Trades","SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION","Construction","In-Progress","2024-11-25","DOES","","DOES","65832.00","0.00","0.00","DSF0001084584"
14,"K034","P.S. 34 - BROOKLYN","DOE - RESOA","FY23 RESO A CAFETERIA UPGRADE","Construction","In-Progress","2024-04-01","DOER","","DOER","497676.00","0.00","0.00","DSF0001035385"
14,"K034","P.S. 34 - BROOKLYN","SCA IEH","PO18-CAFETERIA - EAST SIDE - OPEN WALL AREA MARKED IN RED - ABATE PIPE INSULATION FROM THIS POINT, U","Construction","Complete","2024-12-30","IEH","2024-12-31","IEH","25554.00","25554.00","100.00","SCA0000073747"
14,"K034","P.S. 34 - BROOKLYN","SCA IEH","PO18-ABATE PIPE INSULATION IN BASEMENT STORAGE AREA APPROX 30 FEET MARKED IN RED PAINT","Construction","Complete","2025-05-20","IEH","2025-06-18","IEH","1462.00","712.00","48.70","SCA0000074287"
14,"K034","P.S. 34 - BROOKLYN","DOE - RESOA","FY25 RESO A BATHROOM UPGRADES","Construction","PNS","PNS","PNS","PNS","DOER","209000.00","0.00","0.00","DSF0001112535"
16,"K035","I.S. 35 - BROOKLYN","SCA CIP","IPDVS CAMERA INSTALLATION","Scope","Complete","2020-05-29","2020-09-28","2020-07-02","5300.00","5549.00","5549.00","100.00","DSF0000960735"
16,"K035","I.S. 35 - BROOKLYN","SCA CIP","IPDVS CAMERA INSTALLATION","Design","Complete","2020-07-02","2020-12-30","2021-03-31","23850.00","22197.00","22197.00","100.00","DSF0000960735"
16,"K035","I.S. 35 - BROOKLYN","SCA CIP","IPDVS CAMERA INSTALLATION","Construction","Complete","2022-05-05","2023-02-28","2024-10-02","307394.00","269003.00","235971.00","87.72","DSF0000960735"
16,"K035","I.S. 35 - BROOKLYN","SCA CIP","IPDVS CAMERA INSTALLATION","CM,F&E","Complete","2022-05-05","2023-02-28","2024-10-02","244767.00","237489.00","163082.00","68.67","DSF0000960735"
16,"K035","I.S. 35 - BROOKLYN","DOE - Skilled Trades","CAFETERIA ENHANCEMENT EXPERIENCE","Construction","In-Progress","2024-03-08","DOES","","DOES","466075.00","0.00","0.00","DSF0001085711"
16,"K035","I.S. 35 - BROOKLYN","Trust For Public Land","TPL- EXTREME WEATHER PLAYGROUND UPGRADE","Construction","In-Progress","2024-06-01","TPL","","TPL","2024961.00","920859.00","45.48","DSF0001034695"
16,"K035","I.S. 35 - BROOKLYN","Fast Track Projects","FY18 RESO A AUDITORIUM UPGRADE","Construction","In-Progress","2024-08-15","FTK","","FTK","46946.00","46906.00","99.91","DSF0000867278"
16,"K035","I.S. 35 - BROOKLYN","DOE - RESOA","FY23 RESO A MULTIMEDIA CENTER","Construction","PNS","PNS","PNS","PNS","DOER","350000.00","0.00","0.00","DSF0001035387"
16,"K035","BKLYN BROWNSTONE SCL - K","DIIT - RESOA","FY25 RESO A TECHNOLOGY UPGRADE","Purch & Install","PNS","PNS","PNS","PNS","DIIR","75000.00","0.00","0.00","DSF0001112537"
16,"K035","I.S. 35 - BROOKLYN","DIIT - RESOA","FY25 RESO A TECHNOLOGY UPGRADE","Purch & Install","PNS","PNS","PNS","PNS","DIIR","75000.00","0.00","0.00","DSF0001112536"
15,"K038","P.S. 38 - BROOKLYN","DIIT - Project Connect","CLASSROOM CONNECTIVITY","Purch & Install","In-Progress","2019-11-01","DIIT","","DIIT","286097.00","0.00","0.00","DSF0000959761"
15,"K038","P.S. 38 - BROOKLYN","SCA CIP","REINFORCING SUPPORT ELEMENTS","Design","Complete","2022-03-18","2022-04-18","2022-03-18","0.00","0.00","0.00","","DSF0001021093"
15,"K038","P.S. 38 - BROOKLYN","SCA CIP","REINFORCING SUPPORT ELEMENTS","Scope","Complete","2022-03-18","2022-03-18","2022-03-18","0.00","0.00","0.00","","DSF0001021093"
15,"K038","P.S. 38 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Scope","Complete","2024-03-15","2024-07-16","2024-04-01","3831.00","764.00","764.00","100.00","DSF0001087375"
15,"K038","P.S. 38 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Design","Complete","2024-04-01","2024-09-25","2024-07-16","17240.00","3055.00","3055.00","100.00","DSF0001087375"
15,"K038","P.S. 38 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","CM,F&E","In-Progress","2024-12-16","2025-11-10","","70965.00","63636.00","15738.00","24.73","DSF0001087375"
15,"K038","P.S. 38 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Construction","In-Progress","2024-12-16","2025-11-10","","222198.00","209214.00","61494.00","29.39","DSF0001087375"
15,"K038","P.S. 38 - BROOKLYN","SCA IEH","PO18-ABATE 9X9 TILES IN ROOM 212 AREA IS COVERED BY MASONITE","Construction","Complete","2025-05-06","IEH","2025-06-02","IEH","46127.00","2101.00","4.55","SCA0000074236"
15,"K038","P.S. 38 - BROOKLYN","DOE - RESOA","FY25 RESO A SUPPLEMENTAL COOLING","Construction","PNS","PNS","PNS","PNS","DOER","500000.00","0.00","0.00","DSF0001112538"
15,"K038","P.S. 38 - BROOKLYN","SCA CIP","REINFORCING SUPPORT ELEMENTS","CM,F&E","PNS","PNS","PNS","PNS","88093.00","88093.00","88093.00","100.00","DSF0001021093"
15,"K038","P.S. 38 - BROOKLYN","SCA CIP","REINFORCING SUPPORT ELEMENTS","Construction","PNS","PNS","PNS","PNS","498547.00","498547.00","378896.00","76.00","DSF0001021093"
15,"K039","P.S. 39 - BROOKLYN","DOE - RESOA","FY22 RESO A BATHROOM UPGRADE","Construction","In-Progress","2023-08-31","DOER","","DOER","42783.00","0.00","0.00","DSF0001034977"
15,"K039","P.S. 39 - BROOKLYN","SCA CIP RESOA","FY24 RESO A ELECTRICAL UPGRADE","Scope","Complete","2024-01-05","2024-04-05","2024-04-16","0.00","2030.00","2030.00","100.00","DSF0001085952"
15,"K039","P.S. 39 - BROOKLYN","SCA CIP RESOA","FY24 RESO A ELECTRICAL UPGRADE","Design","Complete","2024-05-09","2024-11-13","2024-11-13","18000.00","8121.00","8121.00","100.00","DSF0001085952"
15,"K039","P.S. 39 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Design","In-Progress","2025-03-17","2025-09-10","","7891.00","7891.00","1162.00","14.73","DSF0001087376"
15,"K039","P.S. 39 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Scope","Complete","2025-03-17","2025-07-16","2025-03-17","1973.00","291.00","291.00","100.00","DSF0001087376"
15,"K039","P.S. 39 - BROOKLYN","SCA CIP RESOA","FY24 RESO A ELECTRICAL UPGRADE","CM,F&E","PNS","PNS","PNS","PNS","18000.00","18000.00","12996.00","72.20","DSF0001085952"
15,"K039","P.S. 39 - BROOKLYN","SCA CIP RESOA","FY24 RESO A ELECTRICAL UPGRADE","Construction","PNS","PNS","PNS","PNS","264000.00","264000.00","19973.00","7.57","DSF0001085952"
15,"K039","P.S. 39 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","CM,F&E","PNS","PNS","PNS","PNS","29099.00","29099.00","4328.00","14.87","DSF0001087376"
15,"K039","P.S. 39 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Construction","PNS","PNS","PNS","PNS","113435.00","113435.00","0.00","0.00","DSF0001087376"
16,"K040","P.S. 40 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Scope","Complete","2024-07-01","2024-10-30","2024-07-02","4189.00","1005.00","1005.00","100.00","DSF0001087377"
16,"K040","P.S. 40 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Design","Complete","2024-07-02","2024-12-30","2024-12-18","18848.00","4021.00","4021.00","100.00","DSF0001087377"
16,"K040","P.S. 40 - BROOKLYN","SCA IEH","PO18-ABATE FUEL OIL PIPE INUSLATION FOR BOILER CONVERSION LOCATION IS MARKED AT BOILER AND PUMP SET","Construction","Complete","2025-02-25","IEH","2025-03-01","IEH","18130.00","10130.00","55.87","SCA0000073950"
16,"K040","P.S. 40 - BROOKLYN","DIIT - RESOA","FY25 RESO A TECHNOLOGY UPGRADE","Purch & Install","Complete","2025-04-18","DIIR","2025-06-17","DIIR","75000.00","75000.00","100.00","DSF0001112540"
16,"K040","P.S. 40 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","CM,F&E","In-Progress","2025-05-08","2026-04-02","","45026.00","26503.00","3771.00","14.23","DSF0001087377"
16,"K040","P.S. 40 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Construction","In-Progress","2025-05-08","2026-04-02","","242933.00","221199.00","2274.00","1.03","DSF0001087377"
16,"K040","P.S. 40 - BROOKLYN","DOE - RESOA","FY25 RESO A STEM LAB","Construction","PNS","PNS","PNS","PNS","DOER","450000.00","0.00","0.00","DSF0001112541"
16,"K040","GOTHAM PROFESSIONAL ARTS ACAD - K","DOE - RESOA","FY14 RESO A VENTILATION","Construction","PNS","PNS","PNS","PNS","DOER","40000.00","0.00","0.00","DSF0000798800"
16,"K040","P.S. 40 - BROOKLYN","DOE - RESOA","FY23 RESO A ROOM CONVERSION","Construction","PNS","PNS","PNS","PNS","DOER","137402.00","0.00","0.00","DSF0001035389"
16,"K040","P.S. 40 - BROOKLYN","DOE - RESOA","FY25 RESO A GYMNASIUM UPGRADE","Construction","PNS","PNS","PNS","PNS","DOER","175000.00","0.00","0.00","DSF0001112539"
23,"K041","P.S. 41 - BROOKLYN","DOE - Skilled Trades","CAFETERIA ENHANCEMENT EXPERIENCE","Construction","In-Progress","2024-05-31","DOES","","DOES","393570.00","0.00","0.00","DSF0001111857"
23,"K041","P.S. 41 - BROOKLYN","DOE - Skilled Trades","SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION","Construction","In-Progress","2024-10-24","DOES","","DOES","65832.00","0.00","0.00","DSF0001084585"
23,"K041","P.S. 41 - BROOKLYN","DOE - RESOA","FY23 RESO A AUDITORIUM UPGRADE","Construction","PNS","PNS","PNS","PNS","DOER","300000.00","0.00","0.00","DSF0001035390"
23,"K041","I.S. 522 - BROOKLYN","DOE - RESOA","FY24 RESO A HYDROPONICS LAB","Construction","PNS","PNS","PNS","PNS","DOER","226545.00","0.00","0.00","DSF0001085953"
22,"K042","THE JOAN SNOW PRE-K CENTER","DIIT - RESOA","FY23 RESO A TECHNOLOGY UPGRADE","Purch & Install","PNS","PNS","PNS","PNS","DIIR","100000.00","0.00","0.00","DSF0001035391"
21,"K043","I.S. 98 - BROOKLYN","DOE - RESOA","FY12 RESO A GYMNASIUM SUPPLEMENTAL COOLING","Construction","In-Progress","2016-06-15","DOER","","DOER","416388.00","0.00","0.00","DSF0000844102"
21,"K043","I.S. 98 - BROOKLYN","SCA CIP","FACADE / WINDOWS / PARAPETS","Scope","Complete","2019-09-05","2020-01-24","2021-06-22","115935.00","142083.00","139366.00","98.09","DSF0001010111, DSF0001009243, DSF0001009242"
21,"K043","I.S. 98 - BROOKLYN","DIIT - Project Connect","CLASSROOM CONNECTIVITY","Purch & Install","In-Progress","2019-11-01","DIIT","","DIIT","514634.00","0.00","0.00","DSF0000959762"
21,"K043","I.S. 98 - BROOKLYN","SCA CIP","FACADE / WINDOWS / PARAPETS","Design","Complete","2021-07-12","2021-12-13","2022-01-25","572050.00","366045.00","366045.00","100.00","DSF0001010111, DSF0001009243, DSF0001009242"
21,"K043","I.S. 98 - BROOKLYN","SCA CIP","FACADE / WINDOWS / PARAPETS","CM,F&E","In-Progress","2022-06-13","2024-03-03","","868733.00","871390.00","871390.00","100.00","DSF0001010111, DSF0001009243, DSF0001009242"
21,"K043","I.S. 98 - BROOKLYN","SCA CIP","FACADE / WINDOWS / PARAPETS","Construction","In-Progress","2022-06-13","2024-03-03","","12211563.00","11833737.00","10456546.00","88.36","DSF0001010111, DSF0001009243, DSF0001009242"
21,"K043","I.S. 98 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Scope","Complete","2022-07-19","2022-11-17","2022-08-04","5380.00","1794.00","1794.00","100.00","DSF0001034662"
21,"K043","I.S. 98 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Design","Complete","2022-08-04","2023-02-02","2023-01-11","24210.00","7175.00","7175.00","100.00","DSF0001034662"
21,"K043","I.S. 98 - BROOKLYN","SCA CIP RESOA","FY23 RESO A ROOM CONVERSION / PATH OF TRAVEL RESO A ROOM CONVERSION","Scope","Complete","2023-02-07","2024-09-04","2024-09-12","0.00","18838.00","18838.00","100.00","DSF0001035392, DSF0001035393"
21,"K043","I.S. 98 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","CM,F&E","In-Progress","2023-09-27","2024-08-21","","129400.00","108295.00","107508.00","99.27","DSF0001034662"
21,"K043","I.S. 98 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Construction","In-Progress","2023-09-27","2024-08-21","","312040.00","277100.00","220316.00","79.51","DSF0001034662"
21,"K043","I.S. 98 - BROOKLYN","SCA CIP RESOA","FY23 RESO A ROOM CONVERSION / PATH OF TRAVEL RESO A ROOM CONVERSION","Design","Complete","2024-09-12","2025-01-17","2025-04-14","71294.00","60442.00","54521.00","90.20","DSF0001035392, DSF0001035393"
21,"K043","I.S. 98 - BROOKLYN","SCA CIP RESOA","FY23 RESO A ROOM CONVERSION / PATH OF TRAVEL RESO A ROOM CONVERSION","CM,F&E","PNS","PNS","PNS","PNS","71294.00","74832.00","71154.00","95.08","DSF0001035392, DSF0001035393"
21,"K043","I.S. 98 - BROOKLYN","SCA CIP RESOA","FY23 RESO A ROOM CONVERSION / PATH OF TRAVEL RESO A ROOM CONVERSION","Construction","PNS","PNS","PNS","PNS","1045644.00","1045644.00","26901.00","2.57","DSF0001035392, DSF0001035393"
13,"K044","P.S. 44 - BROOKLYN","SCA CIP","FULL PROGRAM ACCESSIBILITY / PA SYSTEM REPLACEMENT","Scope","Complete","2022-05-20","2022-10-05","2022-11-30","136640.00","197194.00","195622.00","99.20","DSF0001034904, DSF0001060807"
13,"K044","P.S. 44 - BROOKLYN","SCA CIP","FULL PROGRAM ACCESSIBILITY / PA SYSTEM REPLACEMENT","Design","Complete","2022-12-20","2023-06-08","2023-05-12","683200.00","543537.00","449407.00","82.68","DSF0001034904, DSF0001060807"
13,"K044","P.S. 44 - BROOKLYN","SCA CIP","FULL PROGRAM ACCESSIBILITY / PA SYSTEM REPLACEMENT","CM,F&E","In-Progress","2023-10-16","2026-03-03","","956480.00","364525.00","360400.00","98.87","DSF0001034904, DSF0001060807"
13,"K044","P.S. 44 - BROOKLYN","SCA CIP","FULL PROGRAM ACCESSIBILITY / PA SYSTEM REPLACEMENT","Construction","In-Progress","2023-10-16","2026-03-03","","15372000.00","14274397.00","8312854.00","58.24","DSF0001034904, DSF0001060807"
32,"K045","P.S. 45 - BROOKLYN","SCA CIP","FULL PROGRAM ACCESSIBILITY","Scope","Complete","2021-04-08","2021-08-23","2021-10-18","139471.00","157007.00","157007.00","100.00","DSF0000961141"
32,"K045","P.S. 45 - BROOKLYN","SCA CIP","PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL","Scope","Complete","2021-04-09","2021-09-09","2021-07-01","78996.00","89460.00","89460.00","100.00","DSF0001008797, DSF0000985437"
32,"K045","P.S. 45 - BROOKLYN","SCA CIP","ROOFS / EXTERIOR MASONRY / ROOFTOP EXHAUST FAN REPLACEMENT","Scope","Complete","2021-05-18","2021-10-01","2022-08-03","136225.00","213034.00","199640.00","93.71","DSF0000985441, DSF0000985442, DSF0001060834"
32,"K045","P.S. 45 - BROOKLYN","SCA CIP","PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL","Design","Complete","2021-07-14","2021-12-15","2021-11-18","394980.00","478268.00","410144.00","85.76","DSF0001008797, DSF0000985437"
32,"K045","P.S. 45 - BROOKLYN","SCA CIP","FULL PROGRAM ACCESSIBILITY","Design","Complete","2021-10-26","2022-04-15","2023-08-04","697357.00","471338.00","398528.00","84.55","DSF0000961141"
32,"K045","P.S. 45 - BROOKLYN","SCA CIP","ROOFS / EXTERIOR MASONRY / ROOFTOP EXHAUST FAN REPLACEMENT","Design","Complete","2022-09-13","2023-02-16","2023-03-30","681124.00","664137.00","394124.00","59.34","DSF0000985441, DSF0000985442, DSF0001060834"
32,"K045","P.S. 45 - BROOKLYN","SCA CIP","PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL","CM,F&E","In-Progress","2022-11-07","2024-11-05","","554494.00","553988.00","524138.00","94.61","DSF0001008797, DSF0000985437"
32,"K045","P.S. 45 - BROOKLYN","SCA CIP","PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL","Construction","In-Progress","2022-11-07","2024-11-05","","8887050.00","9431873.00","7828773.00","83.00","DSF0001008797, DSF0000985437"
32,"K045","P.S. 45 - BROOKLYN","DOE - RESOA","FY24 RESO A GYMNASIUM UPGRADE","Construction","In-Progress","2024-02-12","DOER","","DOER","50000.00","0.00","0.00","DSF0001085954"
32,"K045","P.S. 45 - BROOKLYN","SCA CIP","FULL PROGRAM ACCESSIBILITY","CM,F&E","PNS","PNS","PNS","PNS","976300.00","976300.00","101423.00","10.39","DSF0000961141"
32,"K045","P.S. 45 - BROOKLYN","SCA CIP","ROOFS / EXTERIOR MASONRY / ROOFTOP EXHAUST FAN REPLACEMENT","CM,F&E","PNS","PNS","PNS","PNS","953573.00","953573.00","51723.00","5.42","DSF0000985441, DSF0000985442, DSF0001060834"
32,"K045","P.S. 45 - BROOKLYN","SCA CIP","ROOFS / EXTERIOR MASONRY / ROOFTOP EXHAUST FAN REPLACEMENT","Construction","PNS","PNS","PNS","PNS","15325294.00","15325294.00","201095.00","1.31","DSF0000985441, DSF0000985442, DSF0001060834"
32,"K045","P.S. 45 - BROOKLYN","SCA CIP","FULL PROGRAM ACCESSIBILITY","Construction","PNS","PNS","PNS","PNS","15690539.00","15690539.00","46009.00","0.29","DSF0000961141"
13,"K046","FORT GREENE PREPARATORY ACADEMY - BROOKLYN","SCA CIP","IPDVS INSTALLATION","Scope","Complete","2023-06-14","2023-10-16","2023-06-29","4240.00","1434.00","1434.00","100.00","DSF0001035002"
13,"K046","FORT GREENE PREPARATORY ACADEMY - BROOKLYN","SCA CIP","IPDVS INSTALLATION","Design","Complete","2023-06-29","2023-12-27","2023-09-27","19080.00","6037.00","6037.00","100.00","DSF0001035002"
13,"K046","FORT GREENE PREPARATORY ACADEMY - BROOKLYN","SCA CIP","IPDVS INSTALLATION","CM,F&E","In-Progress","2024-03-29","2025-02-21","","113199.00","96988.00","67879.00","69.99","DSF0001035002"
13,"K046","FORT GREENE PREPARATORY ACADEMY - BROOKLYN","SCA CIP","IPDVS INSTALLATION","Construction","In-Progress","2024-03-29","2025-02-21","","245920.00","224107.00","178417.00","79.61","DSF0001035002"
13,"K046","FORT GREENE PREPARATORY ACADEMY - BROOKLYN","SCA IEH","PO18-ABATE AND REMOVE ACM INSULATION FROM BACK OF SHEET METAL WALL INCERT AND ALSO FLOOR FILL AROUND","Construction","Complete","2024-12-27","IEH","2025-01-04","IEH","17963.00","12713.00","70.77","SCA0000073766"
13,"K046","FORT GREENE PREPARATORY ACADEMY - BROOKLYN","SCA IEH","PO18-ABATE AND REMOV ACM INSULATION FROM BACK OF SHEET METTAL WALL INCERT AND ALSO FLOOR FILL AROUND","Construction","Complete","2025-01-03","IEH","2025-01-07","IEH","328.00","328.00","100.00","SCA0000073719"
13,"K046","FORT GREENE PREPARATORY ACADEMY - BROOKLYN","SCA IEH","PO18-ABATE FLOOR TILE IN ROOM 306","Construction","Complete","2025-04-29","IEH","2025-05-30","IEH","8183.00","103.00","1.26","SCA0000074205"
13,"K046","FORT GREENE PREPARATORY ACADEMY - BROOKLYN","DIIT - RESOA","FY25 RESO A TECHNOLOGY UPGRADE","Purch & Install","PNS","PNS","PNS","PNS","DIIR","100000.00","0.00","0.00","DSF0001112542"
13,"K046","FORT GREENE PREPARATORY ACADEMY - BROOKLYN","DOE - RESOA","FY23 RESO A BATHROOM UPGRADES","Construction","PNS","PNS","PNS","PNS","DOER","328978.00","0.00","0.00","DSF0001035394"
20,"K048","P.S. 48 - BROOKLYN","DOE - Skilled Trades","DOMESTIC WATER HEATER","Construction","In-Progress","2020-07-06","DOES","","DOES","42566.00","0.00","0.00","DSF0000961133"
20,"K048","P.S. 48 - BROOKLYN","SCA IEH","PO18-REMOVE ACM PIPE COVER FROM INSIDE OF TIN ENCLOSURES  IN ROOMS 308 AND 304  SIX ENCLOSURES IN TO","Construction","Complete","2025-01-13","IEH","2025-02-21","IEH","20050.00","2535.00","12.64","SCA0000073791"
20,"K048","P.S. 48 - BROOKLYN","SCA IEH","PO18-ABATE AND REPLACE FLOOR TILES IN ROOM 506 IN ADDITIONAL REMEDIATE ANY MOLD CONTAMINATED MATERIA","Construction","Complete","2025-05-05","IEH","2025-06-18","IEH","10883.00","633.00","5.82","SCA0000074226"
20,"K048","P.S. 48 - BROOKLYN","SCA CIP RESOA","FY25 RESO A PLAYGROUND UPGRADE","CM,F&E","PNS","PNS","PNS","PNS","18480.00","20973.00","0.00","0.00","DSF0001112543"
20,"K048","P.S. 48 - BROOKLYN","SCA CIP RESOA","PATH OF TRAVEL RESO A PLAYGROUND UPGRADE","CM,F&E","PNS","PNS","PNS","PNS","0.00","0.00","0.00","","DSF0001113563"
20,"K048","P.S. 48 - BROOKLYN","SCA CIP RESOA","FY25 RESO A PLAYGROUND UPGRADE","Construction","PNS","PNS","PNS","PNS","271040.00","271040.00","0.00","0.00","DSF0001112543"
20,"K048","P.S. 48 - BROOKLYN","SCA CIP RESOA","PATH OF TRAVEL RESO A PLAYGROUND UPGRADE","Construction","PNS","PNS","PNS","PNS","0.00","0.00","0.00","","DSF0001113563"
